doc_id,url,source,language,rights,content_sha256,policy_version,final_stage,decision,reason,cluster_id,kept_id
synthetic-00000,https://fixture.invalid/00000,reference,en,licensed,0487ca2edf6ab2d4199c009ac89c5c5fa46fd1139d7c3580a9a096245125bb82,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,0,synthetic-00001
synthetic-00001,https://fixture.invalid/00001,reference,en,licensed,90006b9845d758bd03b8bf210446579d20f9437093a12491886dac1b853da957,ch05-transparent-filter-v1,decontamination,rejected,evaluation-substring,0,synthetic-00001
synthetic-00002,https://fixture.invalid/00002,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00003,https://fixture.invalid/00003,web,en,restricted,7031645f019444118e7d59c14334d8ba125b8005bd0bc6f5ce8a97b509335a76,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00004,https://fixture.invalid/00004,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00005,https://fixture.invalid/00005,library,en,public-domain,95bba98704ba337e1948ead499bedf70ac83eeffed7ebb336b15ff044a6041b5,ch05-transparent-filter-v1,mixture,selected,source-quota,1,synthetic-00005
synthetic-00006,https://fixture.invalid/00006,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00007,https://fixture.invalid/00007,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00008,https://fixture.invalid/00008,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00009,https://fixture.invalid/00009,community,en,permission,ac1f2ea856041b3aef0a4d1b1b2fcc4536208364ce6710f3ee0bf27b76ca89b6,ch05-transparent-filter-v1,mixture,selected,source-quota,2,synthetic-00009
synthetic-00010,https://fixture.invalid/00010,reference,en,licensed,f6c616860e06a2212579c666a68b11043dab33d73189d14a7f4bb1f0d0994620,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,3,synthetic-00011
synthetic-00011,https://fixture.invalid/00011,reference,en,licensed,fe972102346ca29a30b3c586da3e57036ed604eab753a2a0532f4a7358c88059,ch05-transparent-filter-v1,mixture,selected,source-quota,3,synthetic-00011
synthetic-00012,https://fixture.invalid/00012,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00013,https://fixture.invalid/00013,web,en,restricted,76e8afa651279a8dd0d9c0d9757aaa6e1fe9cb0d7bb5877a01b50e1b583edcdd,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00014,https://fixture.invalid/00014,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00015,https://fixture.invalid/00015,library,en,public-domain,aeaa81428329885ec3d84a977e75a6985d388b70ee86ac4ab47fe8bc1014757b,ch05-transparent-filter-v1,mixture,selected,source-quota,4,synthetic-00015
synthetic-00016,https://fixture.invalid/00016,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00017,https://fixture.invalid/00017,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00018,https://fixture.invalid/00018,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00019,https://fixture.invalid/00019,community,en,permission,8a24b607d62d5b88a002c977e90f3c5fdbd2b007313117d1b410eb3c8756438a,ch05-transparent-filter-v1,mixture,selected,source-quota,5,synthetic-00019
synthetic-00020,https://fixture.invalid/00020,reference,en,licensed,bc41f6d631ceb089187f18dc8ac7280d0c4595ebcd0cb8e63aeb71ac2a92ed94,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,6,synthetic-00021
synthetic-00021,https://fixture.invalid/00021,reference,en,licensed,18550ed33cbe674c2a087cb138b039fc22976a62436cc1d3031da38716b9c848,ch05-transparent-filter-v1,mixture,selected,source-quota,6,synthetic-00021
synthetic-00022,https://fixture.invalid/00022,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00023,https://fixture.invalid/00023,web,en,restricted,18551ca42d6a1c42aca211b8cc0ba0f645575d20c718764d26ca10f48c432a23,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00024,https://fixture.invalid/00024,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00025,https://fixture.invalid/00025,library,en,public-domain,1e1bb7befea8918c849e673aac29e55d7f1b0d3370ea4e49c180f953ef1e6d3e,ch05-transparent-filter-v1,mixture,selected,source-quota,7,synthetic-00025
synthetic-00026,https://fixture.invalid/00026,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
