condition,seed,step,training_loss
raw,17,1,5.745852947235107
raw,17,2,5.707655906677246
raw,17,3,5.558077335357666
raw,17,4,5.464544773101807
raw,17,5,5.283858299255371
raw,17,6,5.194478511810303
raw,17,7,5.058040618896484
raw,17,8,4.949784278869629
raw,17,9,4.889745712280273
raw,17,10,4.742654800415039
raw,17,11,4.689596652984619
raw,17,12,4.6125688552856445
raw,17,13,4.474337577819824
raw,17,14,4.3873291015625
raw,17,15,4.3203606605529785
raw,17,16,4.20525598526001
raw,17,17,4.187328338623047
raw,17,18,4.103867530822754
raw,17,19,4.023149013519287
raw,17,20,3.9955010414123535
raw,17,21,3.939136266708374
raw,17,22,3.856297016143799
raw,17,23,3.8454744815826416
raw,17,24,3.7536709308624268
raw,17,25,3.7662932872772217
raw,17,26,3.7126052379608154
raw,17,27,3.6423940658569336
raw,17,28,3.700963020324707
raw,17,29,3.5987935066223145
raw,17,30,3.5258359909057617
raw,17,31,3.5012757778167725
raw,17,32,3.5418272018432617
raw,17,33,3.4194653034210205
raw,17,34,3.3922743797302246
raw,17,35,3.3731393814086914
raw,17,36,3.2988803386688232
raw,17,37,3.397207498550415
raw,17,38,3.2350289821624756
raw,17,39,3.331868886947632
raw,17,40,3.354219675064087
raw,17,41,3.107097864151001
raw,17,42,3.145742654800415
raw,17,43,3.0578696727752686
raw,17,44,3.1106185913085938
raw,17,45,2.9979779720306396
raw,17,46,2.9753787517547607
raw,17,47,3.1396431922912598
raw,17,48,2.9831836223602295
raw,17,49,2.9747464656829834
raw,17,50,3.051300048828125
raw,17,51,2.961282968521118
raw,17,52,2.8535609245300293
raw,17,53,3.0061333179473877
raw,17,54,2.8549957275390625
raw,17,55,2.6903533935546875
raw,17,56,2.7195382118225098
raw,17,57,2.749274253845215
raw,17,58,2.739783763885498
raw,17,59,2.760364055633545
raw,17,60,2.813900947570801
raw,17,61,2.883186101913452
raw,17,62,2.828960418701172
raw,17,63,2.73715877532959
raw,17,64,2.828237533569336
raw,17,65,2.635640859603882
raw,17,66,2.484860897064209
raw,17,67,2.6101951599121094
raw,17,68,2.312424659729004
raw,17,69,2.674410581588745
raw,17,70,2.6266160011291504
raw,17,71,2.370119571685791
raw,17,72,2.6929657459259033
raw,17,73,2.7252838611602783
raw,17,74,2.397197961807251
raw,17,75,2.6440863609313965
raw,17,76,2.3414413928985596
raw,17,77,2.3997490406036377
raw,17,78,2.4700064659118652
raw,17,79,2.6636476516723633
raw,17,80,2.3139402866363525
cleaned,17,1,5.7695088386535645
cleaned,17,2,5.673560619354248
cleaned,17,3,5.548630714416504
cleaned,17,4,5.377090930938721
cleaned,17,5,5.232736587524414
cleaned,17,6,5.090151309967041
cleaned,17,7,4.9709296226501465
cleaned,17,8,4.859330177307129
cleaned,17,9,4.715697288513184
cleaned,17,10,4.604511737823486
cleaned,17,11,4.4947099685668945
cleaned,17,12,4.364073753356934
cleaned,17,13,4.2464213371276855
cleaned,17,14,4.1505889892578125
cleaned,17,15,4.072623252868652
cleaned,17,16,3.9716317653656006
cleaned,17,17,3.901505708694458
cleaned,17,18,3.8015260696411133
cleaned,17,19,3.7265729904174805
cleaned,17,20,3.6468636989593506
cleaned,17,21,3.6279408931732178
cleaned,17,22,3.564474582672119
cleaned,17,23,3.54290771484375
cleaned,17,24,3.4602651596069336
cleaned,17,25,3.4227495193481445
cleaned,17,26,3.432297468185425
cleaned,17,27,3.3821182250976562
cleaned,17,28,3.341745376586914
cleaned,17,29,3.292520761489868
cleaned,17,30,3.302431583404541
cleaned,17,31,3.3229751586914062
cleaned,17,32,3.2640600204467773
cleaned,17,33,3.2024521827697754
cleaned,17,34,3.2297580242156982
cleaned,17,35,3.1571125984191895
cleaned,17,36,3.157923698425293
cleaned,17,37,3.1765503883361816
cleaned,17,38,3.1789119243621826
cleaned,17,39,3.0961358547210693
cleaned,17,40,3.0646564960479736
cleaned,17,41,3.089322805404663
cleaned,17,42,3.0420944690704346
cleaned,17,43,2.989744186401367
cleaned,17,44,2.9451558589935303
cleaned,17,45,3.0347821712493896
cleaned,17,46,2.977722644805908
cleaned,17,47,2.902355432510376
cleaned,17,48,2.857659101486206
cleaned,17,49,2.9224002361297607
cleaned,17,50,2.8423473834991455
cleaned,17,51,2.8067309856414795
cleaned,17,52,2.8111891746520996
cleaned,17,53,2.8583152294158936
cleaned,17,54,2.748232364654541
cleaned,17,55,2.7198026180267334
cleaned,17,56,2.7426676750183105
cleaned,17,57,2.7157633304595947
cleaned,17,58,2.7039942741394043
cleaned,17,59,2.6156163215637207
cleaned,17,60,2.6207594871520996
cleaned,17,61,2.5455245971679688
cleaned,17,62,2.582805633544922
cleaned,17,63,2.519263505935669
cleaned,17,64,2.392554521560669
cleaned,17,65,2.5127556324005127
cleaned,17,66,2.437723159790039
cleaned,17,67,2.3668367862701416
cleaned,17,68,2.5716559886932373
cleaned,17,69,2.4623756408691406
cleaned,17,70,2.3684802055358887
cleaned,17,71,2.4815876483917236
cleaned,17,72,2.304445505142212
cleaned,17,73,2.26678466796875
cleaned,17,74,2.251194715499878
cleaned,17,75,2.2177536487579346
cleaned,17,76,2.3330674171447754
cleaned,17,77,2.1974194049835205
cleaned,17,78,2.137775421142578
cleaned,17,79,2.140852689743042
cleaned,17,80,2.156296491622925
raw,29,1,5.730947494506836
raw,29,2,5.69468355178833
raw,29,3,5.538832187652588
raw,29,4,5.388530731201172
raw,29,5,5.267491340637207
raw,29,6,5.144022464752197
raw,29,7,5.049602508544922
raw,29,8,4.941209316253662
raw,29,9,4.842399597167969
raw,29,10,4.730310916900635
raw,29,11,4.642712593078613
raw,29,12,4.555126190185547
raw,29,13,4.442324161529541
raw,29,14,4.3823347091674805
raw,29,15,4.333649635314941
raw,29,16,4.181377410888672
raw,29,17,4.178043365478516
raw,29,18,4.098104953765869
raw,29,19,3.995103597640991
raw,29,20,3.9518237113952637
raw,29,21,3.911350727081299
raw,29,22,3.9301140308380127
raw,29,23,3.839855909347534
raw,29,24,3.7260913848876953
raw,29,25,3.7714099884033203
raw,29,26,3.745771884918213
raw,29,27,3.707159996032715
raw,29,28,3.6546952724456787
raw,29,29,3.574049234390259
raw,29,30,3.6122045516967773
raw,29,31,3.521886110305786
raw,29,32,3.5265414714813232
raw,29,33,3.4353723526000977
raw,29,34,3.407313823699951
raw,29,35,3.456179141998291
raw,29,36,3.3887829780578613
raw,29,37,3.346714973449707
raw,29,38,3.3844172954559326
raw,29,39,3.241380214691162
raw,29,40,3.3269734382629395
raw,29,41,3.2229740619659424
raw,29,42,3.2481772899627686
raw,29,43,3.1699297428131104
raw,29,44,3.159140110015869
raw,29,45,3.185894727706909
raw,29,46,3.035754680633545
