optimizer,step,schedule_multiplier,training_loss
AdamW,1,0.16666666666666666,4.152166843414307
AdamW,2,0.3333333333333333,4.145923137664795
AdamW,3,0.5,4.1345038414001465
AdamW,4,0.6666666666666666,4.084078311920166
AdamW,5,0.8333333333333334,4.0525007247924805
AdamW,6,1.0,3.967907190322876
AdamW,7,1.0,3.9163856506347656
AdamW,8,1.0,3.8417434692382812
AdamW,9,1.0,3.786961078643799
AdamW,10,1.0,3.7248785495758057
AdamW,11,1.0,3.6468372344970703
AdamW,12,1.0,3.5929019451141357
AdamW,13,1.0,3.515413522720337
AdamW,14,1.0,3.428954839706421
AdamW,15,1.0,3.3903234004974365
AdamW,16,1.0,3.3242831230163574
AdamW,17,1.0,3.219630002975464
AdamW,18,1.0,3.1402053833007812
AdamW,19,1.0,3.0756468772888184
AdamW,20,1.0,3.014148712158203
AdamW,21,1.0,2.9557132720947266
AdamW,22,1.0,2.859058380126953
AdamW,23,1.0,2.848545789718628
AdamW,24,1.0,2.803605079650879
AdamW,25,1.0,2.703946352005005
AdamW,26,1.0,2.6372971534729004
AdamW,27,1.0,2.533385992050171
AdamW,28,1.0,2.5083465576171875
AdamW,29,1.0,2.4215896129608154
AdamW,30,1.0,2.3826305866241455
AdamW,31,1.0,2.291863441467285
AdamW,32,1.0,2.280651330947876
AdamW,33,1.0,2.171114444732666
AdamW,34,1.0,2.1005356311798096
AdamW,35,1.0,2.0389976501464844
AdamW,36,1.0,2.025428295135498
AdamW,37,1.0,1.9806071519851685
AdamW,38,1.0,1.9063255786895752
AdamW,39,1.0,1.799683690071106
AdamW,40,1.0,1.7795474529266357
AdamW,41,1.0,1.7128769159317017
AdamW,42,1.0,1.6519931554794312
AdamW,43,1.0,1.6181163787841797
AdamW,44,1.0,1.5583523511886597
AdamW,45,1.0,1.5068470239639282
AdamW,46,1.0,1.4604027271270752
AdamW,47,1.0,1.4016047716140747
AdamW,48,1.0,1.3493165969848633
AdamW,49,0.9166666666666666,1.3000441789627075
AdamW,50,0.8333333333333334,1.2353146076202393
AdamW,51,0.75,1.2079746723175049
AdamW,52,0.6666666666666666,1.1800310611724854
AdamW,53,0.5833333333333334,1.1531296968460083
AdamW,54,0.5,1.1394319534301758
AdamW,55,0.4166666666666667,1.0926164388656616
AdamW,56,0.3333333333333333,1.0876541137695312
AdamW,57,0.25,1.0624034404754639
AdamW,58,0.16666666666666666,1.0645807981491089
AdamW,59,0.08333333333333333,1.049666404724121
AdamW,60,0.0,1.070080041885376
Muon-like,1,0.16666666666666666,4.152166843414307
Muon-like,2,0.3333333333333333,4.146125316619873
Muon-like,3,0.5,4.134430408477783
Muon-like,4,0.6666666666666666,4.083329677581787
Muon-like,5,0.8333333333333334,4.051193714141846
Muon-like,6,1.0,3.9652504920959473
Muon-like,7,1.0,3.912992238998413
Muon-like,8,1.0,3.8365097045898438
Muon-like,9,1.0,3.7796242237091064
Muon-like,10,1.0,3.7127511501312256
Muon-like,11,1.0,3.6323421001434326
Muon-like,12,1.0,3.5801491737365723
Muon-like,13,1.0,3.5032825469970703
Muon-like,14,1.0,3.4164624214172363
Muon-like,15,1.0,3.38193416595459
Muon-like,16,1.0,3.320504665374756
Muon-like,17,1.0,3.2093071937561035
Muon-like,18,1.0,3.133991241455078
Muon-like,19,1.0,3.0678791999816895
Muon-like,20,1.0,3.0094187259674072
Muon-like,21,1.0,2.951188802719116
Muon-like,22,1.0,2.851414918899536
Muon-like,23,1.0,2.8545823097229004
Muon-like,24,1.0,2.80119252204895
Muon-like,25,1.0,2.698716402053833
Muon-like,26,1.0,2.637631416320801
Muon-like,27,1.0,2.536531686782837
Muon-like,28,1.0,2.520376205444336
Muon-like,29,1.0,2.427302598953247
Muon-like,30,1.0,2.384709119796753
Muon-like,31,1.0,2.288754940032959
Muon-like,32,1.0,2.295024871826172
Muon-like,33,1.0,2.173546314239502
Muon-like,34,1.0,2.114370107650757
Muon-like,35,1.0,2.0366382598876953
Muon-like,36,1.0,2.0307254791259766
Muon-like,37,1.0,1.9941515922546387
Muon-like,38,1.0,1.9125064611434937
Muon-like,39,1.0,1.8072609901428223
Muon-like,40,1.0,1.7858396768569946
Muon-like,41,1.0,1.720104694366455
Muon-like,42,1.0,1.6644734144210815
Muon-like,43,1.0,1.6329082250595093
Muon-like,44,1.0,1.5692589282989502
Muon-like,45,1.0,1.5189552307128906
Muon-like,46,1.0,1.498085379600525
Muon-like,47,1.0,1.4153993129730225
Muon-like,48,1.0,1.351548433303833
Muon-like,49,0.9166666666666666,1.3170417547225952
Muon-like,50,0.8333333333333334,1.2573015689849854
Muon-like,51,0.75,1.2224639654159546
Muon-like,52,0.6666666666666666,1.190929889678955
Muon-like,53,0.5833333333333334,1.1454216241836548
Muon-like,54,0.5,1.151718258857727
Muon-like,55,0.4166666666666667,1.1031869649887085
Muon-like,56,0.3333333333333333,1.0978336334228516
Muon-like,57,0.25,1.0671262741088867
Muon-like,58,0.16666666666666666,1.0711174011230469
Muon-like,59,0.08333333333333333,1.0549339056015015
Muon-like,60,0.0,1.0689858198165894
